,Unnamed: 0,line_name,specimen__id,specimen__name,specimen__hemisphere,structure__id,structure__name,structure__acronym,structure_parent__id,structure_parent__acronym,structure__layer,nr__max_euclidean_distance,nr__number_stems,nr__number_bifurcations,nr__average_contraction,nr__average_parent_daughter_ratio,nr__reconstruction_type,nrwkf__id,erwkf__id,ef__fast_trough_v_long_square,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__f_i_curve_slope,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,si__height,si__width,si__path,csl__x,csl__y,csl__z,csl__normalized_depth,cell_reporter_status,m__glif,m__biophys,m__biophys_perisomatic,m__biophys_all_active,tag__apical,tag__dendrite_type,morph_thumb_path,ephys_thumb_path,ephys_inst_thresh_thumb_path,donor__age,donor__sex,donor__disease_state,donor__race,donor__years_of_seizure_history,donor__species,donor__id,donor__name,swc__fname,model__fold,structure__safe_name,structure_merge__acronym
0,6,Cux2-CreERT2,485909730,Cux2-CreERT2;Ai14-205530.03.02.01,right,778,"""Primary visual area, layer 5""",VISp5,385,VISp,5,446.97383394351,7.0,18.0,0.891127894162828,0.844376941289302,dendrite-only,500961530.0,491316386,-49.0000038146973,3.04293347960074,0.0323396179505003,0.25,70.0,20.5677674593068,55.895,17.8906878969496,213.124960660934,2.85131166666667,-76.9283905029297,7583.0,5744.0,/external/mousecelltypes/prod506/specimen_485909730/min_xy_485909730.aff,8881.0,953.839501299405,7768.22695782726,0.478343598387418,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/501086496,/api/v2/well_known_file_download/485911650,/api/v2/well_known_file_download/491381130,,,,,,Mus musculus,485250100,Cux2-CreERT2;Ai14-205530,Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc,6.0,VISp_layer5,Isocortex_layer5
1,7,Scnn1a-Tg3-Cre,323865917,Scnn1a-Tg3-Cre;Ai14-172530.06.01.01,left,778,"""Primary visual area, layer 5""",VISp5,385,VISp,5,507.620655658534,6.0,35.0,0.876720334351633,0.883248879281861,dendrite-only,492413274.0,491200673,-47.75,2.97419423435741,0.0267317211648439,0.164285714285714,70.0,23.1827548873761,94.2335,10.6119373683457,166.250005364418,3.42154166666667,-69.4028549194336,9443.0,5762.0,/external/mousecelltypes/prod225/specimen_323865917/min_xy_323865917.aff,8125.0,904.841803028986,7819.69986630448,0.608589715882724,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660934,/api/v2/well_known_file_download/487629671,/api/v2/well_known_file_download/491384430,,,,,,Mus musculus,322489588,Scnn1a-Tg3-Cre;Ai14(GSL)-172530,Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc,8.0,VISp_layer5,Isocortex_layer5
2,11,Scnn1a-Tg3-Cre,476135066,Scnn1a-Tg3-Cre;Ai14-187849.06.01.01,left,721,"""Primary visual area, layer 4""",VISp4,385,VISp,4,456.764109672597,8.0,45.0,0.922705868334515,0.806499196930875,dendrite-only,512328422.0,491316017,-44.4687538146973,3.38631659246252,0.0986648819093415,0.139336926026596,130.0,25.2161656931662,113.287142857143,8.82712702235784,95.1785519719124,5.80315333333333,-75.0661315917969,7584.0,7583.0,/external/mousecelltypes/prod507/specimen_476135066/min_xy_476135066.aff,8711.26681152,1417.44904628,8895.04077315,0.419115970790224,positive,0,0,0,0,intact,spiny,/api/v2/well_known_file_download/512328571,/api/v2/well_known_file_download/491384500,/api/v2/well_known_file_download/491384504,,,,,,Mus musculus,475849748,Scnn1a-Tg3-Cre;Ai14(IVSCC)-187849,Scnn1a-Tg3-Cre_Ai14-187849.06.01.01_512328420_m.swc,1.0,VISp_layer4,Isocortex_layer4
3,12,Rorb-IRES2-Cre,502614426,Rorb-IRES2-Cre-D;Ai14-230822.04.02.01,right,869,"""Posterolateral visual area, layer 4""",VISpl4,425,VISpl,4,418.28577095089,8.0,27.0,0.851588490256285,0.787984448682699,dendrite-only,519262719.0,544847110,-51.375,3.94022133203199,0.0248267549401969,0.15546875,90.0,28.1795362452016,78.105,12.8032776390756,214.062571525574,3.87155333333333,-70.157844543457,5750.0,7586.0,/external/mousecelltypes/prod670/specimen_502614426/min_xy_502614426.aff,9918.74841340251,2116.91601361369,2202.77186959471,0.411748299578798,positive,0,0,0,0,intact,spiny,/api/v2/well_known_file_download/541010756,/api/v2/well_known_file_download/511853625,/api/v2/well_known_file_download/511853627,,,,,,Mus musculus,502081962,Rorb-IRES2-Cre-D;Ai14-230822,Rorb-IRES2-Cre-D_Ai14-230822.04.02.01_519262717_m.swc,5.0,VISpl_layer4,Isocortex_layer4
4,16,Rorb-IRES2-Cre,480087928,Rorb-IRES2-Cre-D;Ai14-197330.06.01.01,left,721,"""Primary visual area, layer 4""",VISp4,385,VISp,4,415.542767757809,4.0,21.0,0.8990427354402,0.877853350584097,dendrite-only,491770972.0,491198827,-48.5,3.52229179453099,0.0183919874829413,0.199214145383104,50.0,35.8412916818504,58.0516666666667,17.2260342798082,230.044677853584,3.172455,-73.2083282470703,9426.0,9426.0,/external/mousecelltypes/prod439/specimen_480087928/min_xy_480087928.aff,8190.00000000001,965.345563571091,8156.98088204066,0.446400413561292,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/487685988,/api/v2/well_known_file_download/491382097,/api/v2/well_known_file_download/491382099,,,,,,Mus musculus,479695183,Rorb-IRES2-Cre-D;Ai14-197330,Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc,0.0,VISp_layer4,Isocortex_layer4
5,33,Rorb-IRES2-Cre,473611755,Rorb-IRES2-Cre-D;Ai14-181715.03.01.01,left,821,"""Primary visual area, layer 2/3""",VISp2/3,385,VISp,2/3,318.040615932997,5.0,22.0,0.89998330953772,0.82193799393301,dendrite-only,491253838.0,496389059,-47.84375,3.12721730363885,,0.0158742935628127,250.0,11.459694659171,,,107.968866825104,7.79090666666667,-82.7531585693359,5736.0,3892.0,/external/mousecelltypes/prod340/specimen_473611755/min_xy_473611755.aff,8983.96602419027,896.579275114655,8186.01779636337,0.313011387767044,positive,0,0,0,0,intact,spiny,/api/v2/well_known_file_download/489405258,/api/v2/well_known_file_download/487625197,/api/v2/well_known_file_download/491377281,,,,,,Mus musculus,472963244,Rorb-IRES2-Cre-D;Ai14(IVSCC)-181715,Rorb-IRES2-Cre-D_Ai14-181715.03.01.01_491253836_m.swc,9.0,VISp_layer23,Isocortex_layer2/3
6,37,Pvalb-IRES-Cre,475549334,Pvalb-IRES-Cre;Ai14-185362.03.01.01,left,778,"""Primary visual area, layer 5""",VISp5,385,VISp,5,345.390821720323,4.0,15.0,0.905298393934445,0.964713713261636,dendrite-only,491119984.0,491200305,-66.0625,1.30883421463085,0.0052364442804344,1.64510904338246,400.0,5.29061521955921,3.82833333333332,261.210274270789,85.1562470197678,14.9685383333333,-72.20556640625,7587.0,5757.0,/external/mousecelltypes/prod362/specimen_475549334/min_xy_475549334.aff,8976.63502144556,1295.51331478617,8057.36086373136,0.711457973538847,positive,0,1,0,1,,aspiny,/api/v2/well_known_file_download/487661703,/api/v2/well_known_file_download/491384435,/api/v2/well_known_file_download/491384437,,,,,,Mus musculus,475196647,Pvalb-IRES-Cre;Ai14(IVSCC)-185362,Pvalb-IRES-Cre_Ai14-185362.03.01.01_491119982_m.swc,1.0,VISp_layer5,Isocortex_layer5
7,38,Ctgf-T2A-dgCre,501799874,Ctgf-2A-dgCre;Ai14(IVSCC)-229233.03.02.01,right,33,"""Primary visual area, layer 6a""",VISp6a,385,VISp,6a,725.590369240634,6.0,31.0,0.876244535952505,0.813230744863163,dendrite-only,546778528.0,515347281,-49.4062538146973,2.32016203447269,0.0594504297656943,0.151066355936711,170.0,14.290159286403,238.47,4.19339958904684,239.843934774399,8.03634,-83.0187683105469,7591.0,7579.0,/external/mousecelltypes/prod673/specimen_501799874/min_xy_501799872.aff,8778.14313670529,1528.08594980323,2903.58329078535,0.829095915964361,negative,0,0,0,0,intact,spiny,/api/v2/well_known_file_download/546787585,/api/v2/well_known_file_download/512191838,/api/v2/well_known_file_download/512191840,,,,,,Mus musculus,501715368,Ctgf-2A-dgCre;Ai14(IVSCC)-229233,Ctgf-2A-dgCre_Ai14_IVSCC_-229233.03.02.01_546778526_m.swc,1.0,VISp_layer6a,Isocortex_layer6
8,46,Rorb-IRES2-Cre,314804042,Rorb-IRES2-Cre-D;Ai14-168053.05.01.01,left,778,"""Primary visual area, layer 5""",VISp5,385,VISp,5,422.170626147995,4.0,28.0,0.890830812861332,0.837657988583219,dendrite-only,491392790.0,491201620,-49.7187538146973,3.38751999898176,0.0929322942815354,0.154761904761905,90.0,31.553622349184,101.343333333333,9.86744729138575,215.624928474426,3.744635,-71.1050338745117,7582.0,5744.0,/external/mousecelltypes/prod149/specimen_314804042/min_xy_314804042.aff,8766.93193131801,1245.0648598059,8245.14719127383,0.494978352253461,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487659627,/api/v2/well_known_file_download/487618825,/api/v2/well_known_file_download/491384592,,,,,,Mus musculus,313403626,Rorb-IRES2-Cre-D;Ai14(IVSCC)-168053,Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc,7.0,VISp_layer5,Isocortex_layer5
9,47,Chrna2-Cre_OE25,555241040,Chrna2-Cre_OE25;Ai14(BT)-280154.04.01.01,left,312782594,"""Laterointermediate area, layer 6a""",VISli6a,312782574,VISli,6a,291.113644313437,5.0,17.0,0.823951188504289,0.968018893058391,full,673136340.0,657593302,-67.125,1.30592459441948,,0.0154462242562928,630.0,5.5153108868308,,,62.0312504470348,21.28975,-81.2040100097656,5758.0,7596.0,/external/mousecelltypes/prod847/specimen_555241040/min_xy_555241040.aff,9271.28402191403,2377.15128266899,9242.29002967842,0.849192975036898,positive,0,0,0,0,,aspiny,/api/v2/well_known_file_download/662055340,/api/v2/well_known_file_download/557184221,/api/v2/well_known_file_download/557184223,,,,,,Mus musculus,554221077,Chrna2-Cre_OE25;Ai14(BT)-280154,Chrna2-Cre_OE25_Ai14_BT_-280154.04.01.01_673136338_m.swc,0.0,VISli_layer6a,Isocortex_layer6
